latitude,surface_temperature_1980_2000,20m_temperature_1980_2000,surface_nitrate_1980_2000,20m_nitrate_1980_2000,mixed_layer_depth_1980_2000,surface_temperature_2080_2100,20m_temperature_2080_2100,surface_nitrate_2080_2100,20m_nitrate_2080_2100,mixed_layer_depth_2080_2100
-89.5,,,,,,,,,,
-88.5,,,,,,,,,,
-87.5,,,,,,,,,,
-86.5,,,,,,,,,,
-85.5,,,,,,,,,,
-84.5,,,,,,,,,,
-83.5,,,,,,,,,,
-82.5,,,,,,,,,,
-81.5,,,,,,,,,,
-80.5,,,,,,,,,,
-79.5,,,,,,,,,,
-78.5,,,,,,,,,,
-77.5,,,,,,,,,,
-76.5,,,,,,,,,,
-75.5,-1.6140915,-1.659141702,0.020631487,0.020817756,110.484856,-0.5558804,-0.65412928,0.017664423,0.017769172,82.53439
-74.5,-1.6453032,-1.683425623,0.020699972,0.020878107,94.72111,-0.35476643,-0.451064135,0.017805232,0.017913596,77.867035
-73.5,-1.7445885,-1.751992017,0.021058757,0.021161206,84.19028,-0.1561582,-0.234984408,0.01802567,0.018127805,76.10319
-72.5,-1.7707922,-1.771804565,0.021272002,0.021327567,79.79856,-0.001275229,-0.068927533,0.018279491,0.018367856,75.42726
-71.5,-1.763952,-1.765468843,0.021409068,0.021446773,75.10834,0.09480538,0.03571859,0.01854822,0.018622283,73.3469
-70.5,-1.7470585,-1.749064741,0.021550886,0.021582049,70.49769,0.123570606,0.072219647,0.018855447,0.01891751,70.8141
-69.5,-1.7134492,-1.717864365,0.021692863,0.021724307,67.03299,0.10516871,0.061118576,0.019203499,0.019256788,68.989655
-68.5,-1.6626059,-1.670179233,0.021843418,0.021876341,65.02919,0.070488065,0.032644106,0.019564496,0.019610199,67.824684
-67.5,-1.6008134,-1.611341485,0.022010414,0.02204268,64.041214,0.06203114,0.030449498,0.01990632,0.019943709,67.33827
-66.5,-1.5406494,-1.552645552,0.022177758,0.02220661,63.979347,0.101048894,0.074765884,0.02020087,0.020230536,67.82905
-65.5,-1.483096,-1.495465574,0.022294998,0.022322347,64.65752,0.19040816,0.167764012,0.020421619,0.020446678,69.01925
-64.5,-1.41326,-1.427031608,0.02232531,0.022353894,65.8622,0.3290487,0.309285437,0.02054983,0.020571646,70.50845
-63.5,-1.3215857,-1.336880065,0.022268774,0.022298251,67.64111,0.5224912,0.504572871,0.020584356,0.02060147,72.17438
-62.5,-1.2097448,-1.226355878,0.022164386,0.022194258,69.60581,0.76906765,0.75331443,0.020566177,0.020578057,74.027565
-61.5,-1.0709387,-1.08712536,0.022046482,0.022073991,71.88926,1.1288735,1.115676692,0.020553643,0.020560902,76.845825
-60.5,-0.8736099,-0.887852561,0.02186634,0.021890103,74.75491,1.6333269,1.621993336,0.020505967,0.020510406,80.86068
-59.5,-0.5543468,-0.566672013,0.021574717,0.021594619,78.00203,2.2844,2.273752596,0.020338869,0.020342128,84.796265
-58.5,-0.066646524,-0.076992746,0.021217981,0.021232382,82.57687,3.0754647,3.064951763,0.02002198,0.020024923,87.856514
-57.5,0.63062453,0.621726716,0.020825103,0.02083276,89.9519,4.07698,4.066970599,0.019526985,0.019529962,90.55478
-56.5,1.5781798,1.570177826,0.02031291,0.020316831,99.86515,5.28557,5.276483436,0.018814018,0.018817152,94.13413
-55.5,2.5209844,2.513713012,0.019748705,0.019751561,107.78613,6.2605367,6.252054539,0.018127345,0.018130653,97.15025
-54.5,3.2135499,3.206566983,0.019283658,0.019285843,109.720955,6.892998,6.884154351,0.017644497,0.01764794,96.04022
-53.5,3.76505,3.757630871,0.018882114,0.018884007,107.62585,7.390899,7.380823975,0.017251953,0.017255845,92.19904
-52.5,4.2387586,4.230143389,0.01851467,0.018516766,103.05191,7.8192196,7.80705806,0.016898088,0.016903319,87.036064
-51.5,4.6718016,4.661608457,0.018145459,0.018148047,97.48881,8.234695,8.219523332,0.016480394,0.016488105,81.60104
-50.5,5.1622715,5.150481439,0.017667174,0.017670313,92.3941,8.7702055,8.751436454,0.015778271,0.015789216,77.283356
-49.5,5.8120666,5.798855332,0.016957456,0.016960782,88.33351,9.51884,9.496472863,0.0146151,0.014630486,74.695885
-48.5,6.71675,6.70167652,0.015780564,0.015784747,85.29541,10.553772,10.52834082,0.012819592,0.012841666,73.732285
-47.5,7.8080726,7.789349046,0.014047106,0.014056538,83.42401,11.749425,11.72121149,0.010730662,0.010764011,74.3351
-46.5,8.988638,8.96656944,0.012021887,0.012038513,83.16278,12.964814,12.93377936,0.008834439,0.0088803,76.29559
-45.5,10.2265415,10.2020139,0.009980729,0.010003322,84.90426,14.198556,14.16626999,0.007245166,0.007294893,79.91952
-44.5,11.405005,11.37881515,0.0081901,0.008217237,88.435455,15.342821,15.30984397,0.005988008,0.006035405,84.84183
-43.5,12.410893,12.38256559,0.006756024,0.006787198,91.03652,16.270893,16.23565834,0.005004607,0.005049101,88.42058
-42.5,13.251493,13.2196201,0.005593517,0.005628426,88.54283,17.0293,16.99128218,0.004155014,0.004195166,87.17813
-41.5,13.973951,13.93742244,0.004672242,0.004708262,80.993805,17.639698,17.59890288,0.00345326,0.003487763,80.99958
-40.5,14.642483,14.60166897,0.003973717,0.004005501,72.29245,18.125423,18.08041518,0.002946279,0.002976474,72.97372
-39.5,15.306139,15.2627057,0.003505313,0.003527946,66.104,18.601847,18.55117351,0.00261052,0.002638034,65.89643
-38.5,15.974748,15.92937236,0.00319328,0.003207894,62.54423,19.138899,19.08307369,0.002400503,0.00242501,61.008602
-37.5,16.62949,16.58079617,0.00292355,0.00293821,60.236824,19.712568,19.65365193,0.002259301,0.002279641,57.585064
-36.5,17.267775,17.21440346,0.00266868,0.002686541,57.928272,20.304932,20.24397756,0.002089043,0.002106672,54.66228
-35.5,17.904425,17.84679001,0.002423933,0.002442065,55.15152,20.92224,20.85944972,0.001826989,0.001844408,52.184494
-34.5,18.548437,18.48751842,0.00213712,0.002154943,52.48357,21.560167,21.49585022,0.00150311,0.001519194,50.121334
-33.5,19.18791,19.12520732,0.001808632,0.001825961,50.67927,22.198843,22.13431254,0.001189679,0.001202285,48.53437
-32.5,19.830822,19.76747952,0.001480444,0.001496015,49.791786,22.848228,22.78281686,0.000917298,0.000927156,47.563667
-31.5,20.421219,20.35823609,0.001211588,0.001224849,49.761368,23.452429,23.38613384,0.000722279,0.000730064,47.558125
-30.5,20.966763,20.90503286,0.00100059,0.001012056,50.257683,24.023693,23.95647552,0.000583427,0.00059035,47.940617
-29.5,21.473711,21.41447306,0.000843198,0.000852822,51.10869,24.575726,24.50827276,0.000484903,0.000491089,48.490273
-28.5,21.943737,21.88808435,0.000724479,0.000732594,52.165115,25.114094,25.04782453,0.000411752,0.000417048,49.134792
-27.5,22.37333,22.32167447,0.000633695,0.000640676,53.45637,25.629692,25.56628991,0.000355359,0.00035996,49.806843
-26.5,22.752739,22.7051258,0.000569221,0.000575158,54.915997,26.10702,26.04711996,0.000313432,0.000317548,50.806194
-25.5,23.077911,23.0339131,0.000528383,0.000533348,56.33957,26.529125,26.4730073,0.000284622,0.000288392,51.947758
-24.5,23.349747,23.30864849,0.000507765,0.000512121,57.574226,26.887537,26.83505605,0.000269158,0.000272655,53.038486
-23.5,23.58132,23.54301901,0.000504102,0.000507999,58.63335,27.199068,27.14984961,0.000266027,0.000269419,54.112217
-22.5,23.760513,23.72456349,0.000512478,0.000516035,59.576794,27.449377,27.40301246,0.000273398,0.000276804,55.067646
-21.5,23.905918,23.87171112,0.00052619,0.000529668,60.668514,27.662218,27.61847326,0.000290364,0.000293751,55.999958
-20.5,24.027702,23.99482098,0.0005388,0.000542212,61.874935,27.849133,27.80747576,0.000312337,0.00031559,56.753357
-19.5,24.149958,24.11876933,0.000539633,0.00054276,63.21217,28.030645,27.99160941,0.000333792,0.000336782,57.700428
-18.5,24.29548,24.26628255,0.000510355,0.000512897,64.16103,28.226364,28.19006108,0.000339495,0.000342096,58.584606
-17.5,24.494411,24.46728989,0.000441376,0.000443175,64.02449,28.465487,28.43192461,0.000320596,0.000322694,58.783527
-16.5,24.751774,24.72668537,0.000343048,0.000344191,61.797897,28.749779,28.71876757,0.000280411,0.000281954,57.673492
-15.5,25.05348,25.0301346,0.00024214,0.000242867,58.08251,29.06961,29.04076883,0.000228642,0.000229764,55.293583
-14.5,25.395811,25.3738605,0.000162951,0.000163405,54.112377,29.430416,29.40333475,0.000174542,0.000175314,52.064762
-13.5,25.734274,25.71334974,0.000126395,0.000126713,51.804516,29.789577,29.7637939,0.000136011,0.000136564,49.216614
-12.5,26.06676,26.0466209,0.000118865,0.000119145,50.730747,30.141396,30.11662863,0.000117709,0.000118163,47.035004
-11.5,26.388323,26.36876586,0.000136881,0.000137201,50.332558,30.48276,30.45872548,0.000126006,0.000126482,45.666607
-10.5,26.684422,26.66496953,0.000190712,0.000191184,50.240578,30.804203,30.78053792,0.000170568,0.000171211,45.09499
-9.5,26.951237,26.93160741,0.000294335,0.000295092,50.518898,31.103504,31.07985685,0.000255953,0.000256918,45.457134
-8.5,27.187792,27.1677021,0.000447701,0.000448815,51.125675,31.378073,31.35420037,0.000373446,0.000374811,46.433605
-7.5,27.3936,27.37268459,0.000638598,0.000640209,51.503834,31.635689,31.6113359,0.000503944,0.000505751,46.934006
-6.5,27.571302,27.54894852,0.000834207,0.00083655,50.589714,31.88235,31.85737378,0.000622254,0.000624505,45.92445
-5.5,27.732588,27.70828936,0.000998404,0.001001683,47.919094,32.125057,32.09925173,0.000713935,0.000716608,43.309494
-4.5,27.875492,27.84859872,0.001101948,0.001106145,43.973583,32.35288,32.32563179,0.000763204,0.00076638,39.939198
-3.5,27.997719,27.96677866,0.00112079,0.00112585,39.6579,32.556084,32.52640824,0.000750561,0.000754285,36.01748
-2.5,28.079332,28.0437817,0.001073868,0.001079684,36.13295,32.712822,32.68054726,0.000684185,0.000688283,32.773987
-1.5,28.101587,28.06129005,0.001018403,0.001025362,32.63358,32.807373,32.77082048,0.000608947,0.000613831,29.957594
-0.5,28.126463,28.07914639,0.000946631,0.000956791,27.773176,32.881565,32.83736116,0.000529255,0.000535979,26.43559
0.5,28.381771,28.3321682,0.000766903,0.000778025,25.94996,33.125,33.0784741,0.000381387,0.000388351,25.276627
1.5,28.833706,28.79300354,0.000481383,0.00048746,30.074474,33.466415,33.42930035,0.000221024,0.000224538,28.510149
2.5,29.189878,29.15820224,0.000235364,0.000237947,34.60818,33.670265,33.63899053,0.00013122,0.00013335,30.53679
3.5,29.344963,29.31781963,0.000112173,0.00011355,35.604866,33.69403,33.66496228,0.000104214,0.000105903,30.133547
4.5,29.322567,29.29678891,7.49E-05,7.59E-05,33.36561,33.588547,33.55866401,0.000111425,0.000113064,28.65898
5.5,29.168318,29.14160619,9.10E-05,9.21E-05,30.560032,33.393723,33.36135833,0.000146003,0.000147927,27.57971
6.5,28.919865,28.89038276,0.000157983,0.000159606,29.23151,33.131336,33.09621129,0.000211426,0.000214003,27.161654
7.5,28.610538,28.57721044,0.000265471,0.000268179,29.329458,32.82158,32.78363601,0.000301954,0.000305573,27.399212
8.5,28.261566,28.22451944,0.000407994,0.000412403,30.043987,32.476067,32.43470146,0.000417959,0.000423144,28.123854
9.5,27.895426,27.85443155,0.000593777,0.000600373,30.878822,32.102547,32.05797228,0.000563062,0.000570379,29.168709
10.5,27.53566,27.49006069,0.000824667,0.000833791,31.93166,31.713541,31.667515,0.00073255,0.000741936,30.535864
11.5,27.183762,27.13460458,0.001084567,0.001095871,33.289566,31.313688,31.26797713,0.00091427,0.000925081,32.11285
12.5,26.844988,26.79534886,0.001332492,0.001344464,34.718708,30.91879,30.87466501,0.001080745,0.001091792,33.66275
13.5,26.512886,26.46563496,0.001520214,0.001532485,36.017323,30.521399,30.47937902,0.001207763,0.001218774,35.003693
14.5,26.178333,26.13471665,0.001645352,0.00165793,37.516983,30.10698,30.06735852,0.001297997,0.001308816,36.52891
15.5,25.856634,25.81675606,0.001700972,0.001713577,39.40201,29.69138,29.6546156,0.001340861,0.001351417,38.29845
16.5,25.558802,25.52179087,0.001666939,0.001679613,40.969368,29.28294,29.24899096,0.001334505,0.001344912,40.02813
17.5,25.265512,25.23110459,0.001584327,0.00159707,42.438946,28.868315,28.83710485,0.001322383,0.001332826,42.14636
18.5,24.977747,24.94568903,0.001474708,0.001487282,44.05971,28.457966,28.42892489,0.001310114,0.001320617,44.43897
19.5,24.732067,24.70187235,0.001308323,0.001320377,45.31933,28.100752,28.07290736,0.001246718,0.00125734,46.101143
20.5,24.518986,24.49068291,0.001083312,0.001093895,46.3636,27.792536,27.76561087,0.001108192,0.001118663,47.27214
21.5,24.332811,24.30608999,0.000838997,0.000847503,47.711227,27.536636,27.51029265,0.000913837,0.000923298,48.19164
22.5,24.158201,24.13269781,0.000604529,0.000611108,49.678486,27.316631,27.29074204,0.000686247,0.000694257,49.272907
23.5,23.994753,23.96999869,0.000434918,0.000440204,52.19342,27.134762,27.10920486,0.000495995,0.000502413,50.6032
24.5,23.820217,23.79563,0.000336827,0.000341368,55.038902,26.96733,26.94185306,0.000364362,0.000369431,52.262207
25.5,23.623129,23.59807331,0.000305273,0.000309782,57.959137,26.809048,26.78328697,0.000289798,0.000294086,54.33487
26.5,23.395542,23.36941382,0.000326847,0.000332064,60.368343,26.649513,26.62322404,0.000266926,0.000270865,57.20228
27.5,23.137766,23.10968785,0.000383908,0.000390587,61.579876,26.470848,26.44347164,0.000292158,0.000296197,60.925457
28.5,22.876568,22.84577007,0.000456915,0.000465505,61.530903,26.273462,26.24422428,0.000354193,0.000358703,64.52878
29.5,22.623661,22.58974191,0.000541039,0.00055199,60.7245,26.059853,26.02803305,0.000439094,0.000444283,67.0203
30.5,22.382505,22.34538078,0.000641198,0.000654704,59.856483,25.83173,25.796556,0.000534416,0.000540502,68.24175
31.5,22.15132,22.11086731,0.000762601,0.0007792,59.196785,25.587805,25.54860102,0.000625405,0.000632466,68.59577
32.5,21.910273,21.86651948,0.000924022,0.000943964,58.778397,25.308159,25.26440621,0.000699526,0.000707521,68.07651
33.5,21.657684,21.61051427,0.001119062,0.00114171,58.564754,25.001505,24.95247817,0.00073963,0.000748702,66.67865
34.5,21.36718,21.31559072,0.001353601,0.001379884,58.32033,24.653751,24.59868066,0.00074701,0.000757668,64.38244
35.5,21.027403,20.97004321,0.00162355,0.001655166,58.320034,24.253983,24.19241772,0.000734572,0.00074708,61.59411
36.5,20.643293,20.5791332,0.001951197,0.001990794,59.14831,23.786345,23.71697611,0.000719195,0.000733523,58.382168
37.5,20.26107,20.18834939,0.002281566,0.002336856,60.966248,23.292961,23.21491577,0.000723256,0.000739854,55.50331
38.5,19.83807,19.75651196,0.002639656,0.002716008,64.25899,22.739033,22.652371,0.000759159,0.000777768,53.375946
39.5,19.349276,19.26179051,0.003062698,0.003155058,69.54762,22.080408,21.98538124,0.000825441,0.000845176,51.72413
40.5,18.855711,18.7663074,0.003484581,0.003585907,74.99783,21.382404,21.27889986,0.000903336,0.000923754,50.052303
41.5,18.339287,18.25236481,0.003882002,0.003987931,79.65242,20.626326,20.51385277,0.000986564,0.001006848,48.373203
42.5,17.75542,17.67421279,0.004259234,0.004366446,83.08386,19.75672,19.63507701,0.001070195,0.001090239,46.73726
43.5,17.140514,17.06451002,0.004580347,0.0046885,84.86429,18.863056,18.73463178,0.001130564,0.001150984,45.444305
44.5,16.403055,16.3319401,0.00487447,0.004980754,85.12488,17.872055,17.73958814,0.001175681,0.00119674,44.55333
45.5,15.585693,15.51993013,0.005105814,0.005207396,84.60065,16.873482,16.74164709,0.001218544,0.001240074,44.494728
46.5,14.68899,14.6283056,0.005266134,0.005362967,83.36925,15.877108,15.75088275,0.001272027,0.0012932,45.19783
47.5,13.764936,13.70729149,0.005393088,0.005486573,81.2426,14.930015,14.81277493,0.001336204,0.001357741,46.383022
48.5,12.832114,12.77646826,0.005521485,0.005613996,78.54791,14.059256,13.95198305,0.001413883,0.001437171,47.98484
49.5,11.920805,11.86665407,0.005696917,0.005790365,76.551186,13.248239,13.14906871,0.00151126,0.001536634,49.756023
50.5,11.202892,11.14933354,0.005977034,0.006073778,77.88797,12.550301,12.45786612,0.001628946,0.001656243,51.630573
51.5,10.80214,10.75064799,0.006417669,0.006517893,86.87138,11.997145,11.91260576,0.001766288,0.001795062,53.80541
52.5,10.731813,10.6841405,0.007012118,0.007115592,105.602425,11.599038,11.52322211,0.001915967,0.001944894,56.37032
53.5,10.87366,10.83092237,0.00761953,0.007727196,129.60146,11.284314,11.21580254,0.002066828,0.002095074,58.95793
54.5,11.054479,11.01595437,0.008206139,0.008317431,158.39525,10.957134,10.89292915,0.002220935,0.002248861,60.921955
55.5,11.158146,11.12171259,0.008731059,0.008844913,188.62068,10.652581,10.59017699,0.002355588,0.002385922,62.309483
56.5,11.136103,11.10059546,0.009184037,0.009301868,215.28949,10.369258,10.30750464,0.002497887,0.00253072,63.485332
57.5,11.00238,10.96699009,0.009471074,0.009594655,230.52443,10.158331,10.09591853,0.002641771,0.002676879,64.578865
58.5,10.790647,10.75425356,0.009616978,0.00974769,239.58372,10.0556755,9.993414288,0.002783929,0.00282119,65.79285
59.5,10.561438,10.52218842,0.009683554,0.009824264,257.8479,10.025949,9.963556765,0.002914819,0.002955423,66.68206
60.5,10.344136,10.30181469,0.00973102,0.009881772,304.4634,9.968829,9.905805772,0.00301716,0.003060601,67.5902
61.5,10.141634,10.09659179,0.009752357,0.009912957,355.43234,9.767868,9.701552211,0.003057279,0.003102331,67.752945
62.5,9.966048,9.9188745,0.009782519,0.009954465,348.60968,9.259501,9.18146477,0.002983757,0.003031615,65.48806
63.5,9.80194,9.753272448,0.009858843,0.010053078,302.8833,8.429303,8.33009484,0.002756316,0.002805102,61.044487
64.5,9.427872,9.382063974,0.009779803,0.010002294,220.38171,7.3669143,7.239216205,0.002391464,0.002436833,54.70646
65.5,7.9082866,7.925471268,0.008938845,0.009193007,96.38277,6.0389132,5.880920157,0.001948006,0.001990414,48.30086
66.5,2.945609,3.046622641,0.00646556,0.006818017,39.254738,4.7866297,4.610440063,0.001554455,0.001591671,50.825054
67.5,-0.06568956,-0.015628357,0.00494274,0.005264648,26.966557,4.180773,3.964119841,0.001331889,0.001368841,52.889442
68.5,-0.7468854,-0.664550868,0.004602342,0.004890514,33.740856,3.7467546,3.535231723,0.001367125,0.001404278,54.85113
69.5,,,,,,,,,,
70.5,,,,,,,,,,
71.5,,,,,,,,,,
72.5,,,,,,,,,,
73.5,,,,,,,,,,
74.5,,,,,,,,,,
75.5,,,,,,,,,,
76.5,,,,,,,,,,
77.5,,,,,,,,,,
78.5,,,,,,,,,,
79.5,,,,,,,,,,
80.5,,,,,,,,,,
81.5,,,,,,,,,,
82.5,,,,,,,,,,
83.5,-1.7759889,-1.774418033,0.005773358,0.005899847,46.56706,-0.087966844,-0.274693872,0.000788204,0.000822346,44.863663
84.5,-1.7771636,-1.776355374,0.005806655,0.005900368,44.303837,-0.21108353,-0.354921293,0.000804648,0.00083119,43.579716
85.5,-1.7853454,-1.783731986,0.005804123,0.005872697,45.69592,-0.27538672,-0.374386963,0.0008324,0.000857228,44.5509
86.5,-1.7834007,-1.782584778,0.005743215,0.005803467,46.335487,-0.30309448,-0.381905814,0.000854219,0.000879576,45.795963
87.5,-1.7786334,-1.778191483,0.005650278,0.005704399,46.989155,-0.32382166,-0.390845654,0.000868753,0.000894676,47.123917
88.5,-1.7726289,-1.772376716,0.005545667,0.005596145,47.686302,-0.3459556,-0.406520694,0.000863921,0.000889832,47.809322
89.5,-1.7672629,-1.767101815,0.005450563,0.005500878,48.27548,-0.36396772,-0.421388907,0.000846428,0.000872002,47.833797
